date,사드,홍상수 김민희,date,탄핵,김광석
2016.5.29,3,24,2016.5.29,0,3
2016.6.5,4,13,2016.6.5,0,3
2016.6.12,3,6,2016.6.12,0,2
2016.6.19,2,100,2016.6.19,0,4
2016.6.26,3,11,2016.6.26,0,2
2016.7.3,18,18,2016.7.3,0,2
2016.7.10,93,4,2016.7.10,0,2
2016.7.17,47,3,2016.7.17,0,3
2016.7.24,20,2,2016.7.24,0,3
2016.7.31,21,3,2016.7.31,0,1
2016.8.7,26,1,2016.8.7,0,2
2016.8.14,21,1,2016.8.14,1,1
2016.8.21,19,2,2016.8.21,1,2
2016.8.28,12,0,2016.8.28,0,1
2016.9.4,9,0,2016.9.4,0,2
2016.9.11,14,4,2016.9.11,0,2
2016.9.18,9,1,2016.9.18,1,2
2016.9.25,13,2,2016.9.25,0,1
2016.10.2,8,1,2016.10.2,1,3
2016.10.9,10,2,2016.10.9,1,2
2016.10.16,7,2,2016.10.16,0,2
2016.10.23,4,0,2016.10.23,14,3
2016.10.30,7,1,2016.10.30,4,2
2016.11.6,3,0,2016.11.6,7,2
2016.11.13,8,2,2016.11.13,11,2
2016.11.20,3,2,2016.11.20,14,2
2016.11.27,8,0,2016.11.27,22,2
2016.12.4,5,1,2016.12.4,66,3
2016.12.11,4,0,2016.12.11,13,3
2016.12.18,4,1,2016.12.18,5,3
2016.12.25,3,1,2016.12.25,5,9
2017.1.1,9,0,2017.1.1,2,4
2017.1.8,10,1,2017.1.8,4,3
2017.1.15,15,0,2017.1.15,4,5
2017.1.22,5,1,2017.1.22,5,4
2017.1.29,5,1,2017.1.29,7,4
2017.2.5,4,2,2017.2.5,8,3
2017.2.12,5,1,2017.2.12,4,3
2017.2.19,3,8,2017.2.19,6,1
2017.2.26,28,0,2017.2.26,14,3
2017.3.5,59,3,2017.3.5,100,2
2017.3.12,27,16,2017.3.12,21,1
2017.3.19,23,5,2017.3.19,5,1
2017.3.26,16,2,2017.3.26,5,1
2017.4.2,19,2,2017.4.2,4,2
2017.4.9,13,2,2017.4.9,2,2
2017.4.16,14,2,2017.4.16,1,1
2017.4.23,36,0,2017.4.23,2,3
2017.4.30,17,1,2017.4.30,2,2
2017.5.7,19,1,2017.5.7,5,2
