date,사드,홍상수 김민희
2016-05-29,3,24
2016-06-05,4,13
2016-06-12,3,6
2016-06-19,2,100
2016-06-26,3,11
2016-07-03,18,18
2016-07-10,93,4
2016-07-17,47,3
2016-07-24,20,2
2016-07-31,21,3
2016-08-07,26,1
2016-08-14,21,1
2016-08-21,19,2
2016-08-28,12,0
2016-09-04,9,0
2016-09-11,14,4
2016-09-18,9,1
2016-09-25,13,2
2016-10-02,8,1
2016-10-09,10,2
2016-10-16,7,2
2016-10-23,4,0
2016-10-30,7,1
2016-11-06,3,0
2016-11-13,8,2
2016-11-20,3,2
2016-11-27,8,0
2016-12-04,5,1
2016-12-11,4,0
2016-12-18,4,1
2016-12-25,3,1
2017-01-01,9,0
2017-01-08,10,1
2017-01-15,15,0
2017-01-22,5,1
2017-01-29,5,1
2017-02-05,4,2
2017-02-12,5,1
2017-02-19,3,8
2017-02-26,28,0
2017-03-05,59,3
2017-03-12,27,16
2017-03-19,23,5
2017-03-26,16,2
2017-04-02,19,2
2017-04-09,13,2
2017-04-16,14,2
2017-04-23,36,0
2017-04-30,17,1
2017-05-07,19,1
2017-05-14,6,1
2017-05-21,8,3
2017-05-28,20,2
2017-06-04,11,0
2017-06-11,10,1
2017-06-18,11,1
2017-06-25,4,0
2017-07-02,9,1
2017-07-09,3,1
2017-07-16,4,0
2017-07-23,2,0
2017-07-30,9,0
2017-08-06,7,0
2017-08-13,6,1
2017-08-20,9,0
2017-08-27,9,0
2017-09-03,26,1
2017-09-10,10,1
2017-09-17,7,1
2017-09-24,6,0
2017-10-01,3,1
2017-10-08,9,1
2017-10-15,6,1
2017-10-22,5,0
2017-10-29,5,0
2017-11-05,5,1
2017-11-12,3,1
2017-11-19,4,1
2017-11-26,5,1
2017-12-03,3,1
2017-12-10,7,1
2017-12-17,2,1
2017-12-24,2,1
2017-12-31,2,0
2018-01-07,2,1
2018-01-14,2,0
2018-01-21,0,2
2018-01-28,1,0
2018-02-04,1,1
2018-02-11,2,1
2018-02-18,3,0
2018-02-25,2,1
2018-03-04,2,4
2018-03-11,2,3
2018-03-18,2,1
2018-03-25,2,0
2018-04-01,2,1
2018-04-08,4,0
2018-04-15,2,1
2018-04-22,3,0
2018-04-29,3,0
2018-05-06,4,1
2018-05-13,2,1
2018-05-20,4,0
2018-05-27,2,1
2018-06-03,4,1
2018-06-10,1,1
2018-06-17,3,0
2018-06-24,2,1
2018-07-01,1,0
2018-07-08,2,1
2018-07-15,3,1
2018-07-22,1,0
2018-07-29,2,0
2018-08-05,1,1
2018-08-12,0,0
2018-08-19,1,1
2018-08-26,2,0
2018-09-02,2,0
2018-09-09,2,1
2018-09-16,5,0
2018-09-23,1,0
2018-09-30,3,0
2018-10-07,1,0
2018-10-14,1,1
2018-10-21,3,0
2018-10-28,2,0
2018-11-04,4,0
2018-11-11,1,1
2018-11-18,1,1
2018-11-25,1,0
2018-12-02,2,1
2018-12-09,1,1
2018-12-16,1,0
2018-12-23,1,0
2018-12-30,1,1
2019-01-06,3,1
2019-01-13,2,0
2019-01-20,1,0
2019-01-27,1,0
2019-02-03,1,1
2019-02-10,4,1
2019-02-17,2,0
2019-02-24,1,1
2019-03-03,6,1
2019-03-10,3,1
2019-03-17,2,1
2019-03-24,1,0
2019-03-31,0,1
2019-04-07,1,1
2019-04-14,3,0
2019-04-21,4,0
2019-04-28,2,0
2019-05-05,3,1
2019-05-12,2,1
2019-05-19,2,1
2019-05-26,2,0
2019-06-02,3,0
2019-06-09,3,5
2019-06-16,2,1
2019-06-23,1,2
2019-06-30,3,1
2019-07-07,1,1
2019-07-14,1,1
2019-07-21,3,0
2019-07-28,3,1
2019-08-04,4,0
2019-08-11,3,0
2019-08-18,2,1
2019-08-25,5,1
2019-09-01,2,1
2019-09-08,1,1
2019-09-15,0,0
2019-09-22,1,1
2019-09-29,2,0
2019-10-06,1,1
2019-10-13,3,0
2019-10-20,3,1
2019-10-27,0,1
2019-11-03,4,0
2019-11-10,1,0
2019-11-17,2,0
2019-11-24,1,0
2019-12-01,2,0
2019-12-08,1,0
2019-12-15,4,0
2019-12-22,1,0
2019-12-29,3,0
2020-01-05,2,0
2020-01-12,1,0
2020-01-19,1,0
2020-01-26,2,1
2020-02-02,2,1
2020-02-09,1,2
2020-02-16,2,1
2020-02-23,2,2
2020-03-01,3,2
2020-03-08,1,0
2020-03-15,1,0
2020-03-22,1,0
2020-03-29,2,1
2020-04-05,1,0
2020-04-12,1,1
2020-04-19,1,0
2020-04-26,1,0
2020-05-03,1,0
2020-05-10,2,0
2020-05-17,1,0
2020-05-24,2,0
2020-05-31,4,0
2020-06-07,4,0
2020-06-14,1,0
2020-06-21,2,1
2020-06-28,0,0
2020-07-05,1,0
2020-07-12,1,1
2020-07-19,1,0
2020-07-26,2,0
2020-08-02,1,0
2020-08-09,1,1
2020-08-16,2,0
2020-08-23,0,0
2020-08-30,2,0
2020-09-06,1,0
2020-09-13,2,1
2020-09-20,3,1
2020-09-27,3,0
2020-10-04,2,0
2020-10-11,1,0
2020-10-18,2,0
2020-10-25,2,0
2020-11-01,1,1
2020-11-08,2,0
2020-11-15,3,0
2020-11-22,1,1
2020-11-29,1,1
2020-12-06,2,2
2020-12-13,1,0
2020-12-20,1,0
2020-12-27,1,0
2021-01-03,1,0
2021-01-10,2,0
2021-01-17,2,0
2021-01-24,1,0
2021-01-31,1,0
2021-02-07,3,0
2021-02-14,2,1
2021-02-21,0,0
2021-02-28,1,0
2021-03-07,0,1
2021-03-14,3,0
2021-03-21,2,0
2021-03-28,1,1
2021-04-04,2,0
2021-04-11,2,0
2021-04-18,2,0
2021-04-25,4,0
2021-05-02,2,1
2021-05-09,1,0
2021-05-16,1,0
2021-05-23,2,1
