date,사드,홍상수 김민희
2016-01-03,1,0
2016-01-10,1,0
2016-01-17,3,0
2016-01-24,1,2
2016-01-31,4,0
2016-02-07,48,0
2016-02-14,26,0
2016-02-21,14,0
2016-02-28,5,0
2016-03-06,3,1
2016-03-13,2,1
2016-03-20,2,0
2016-03-27,2,0
2016-04-03,1,1
2016-04-10,2,0
2016-04-17,2,0
2016-04-24,1,0
2016-05-01,4,0
2016-05-08,1,0
2016-05-15,2,1
2016-05-22,3,0
2016-05-29,3,26
2016-06-05,5,9
2016-06-12,2,2
2016-06-19,2,83
2016-06-26,1,17
2016-07-03,16,12
2016-07-10,100,3
2016-07-17,42,3
2016-07-24,13,2
2016-07-31,27,1
2016-08-07,19,2
2016-08-14,12,1
2016-08-21,21,3
2016-08-28,12,0
2016-09-04,12,0
2016-09-11,11,3
2016-09-18,6,0
2016-09-25,12,1
2016-10-02,12,0
2016-10-09,12,2
2016-10-16,6,1
2016-10-23,4,1
2016-10-30,3,1
2016-11-06,3,0
2016-11-13,4,2
2016-11-20,4,1
2016-11-27,7,0
2016-12-04,4,1
2016-12-11,5,0
2016-12-18,6,0
2016-12-25,2,2
