date,성완종,이홍기
2015-01-04,0,0
2015-01-11,0,1
2015-01-18,0,3
2015-01-25,0,3
2015-02-01,0,1
2015-02-08,0,3
2015-02-15,0,5
2015-02-22,0,2
2015-03-01,0,3
2015-03-08,0,4
2015-03-15,1,2
2015-03-22,0,1
2015-03-29,0,5
2015-04-05,99,24
2015-04-12,100,11
2015-04-19,34,8
2015-04-26,12,6
2015-05-03,5,4
2015-05-10,7,5
2015-05-17,2,3
2015-05-24,1,1
2015-05-31,0,1
2015-06-07,2,1
2015-06-14,1,2
2015-06-21,1,3
2015-06-28,3,0
2015-07-05,1,1
2015-07-12,1,3
2015-07-19,0,3
2015-07-26,1,2
2015-08-02,0,3
2015-08-09,1,2
2015-08-16,1,4
2015-08-23,1,1
2015-08-30,0,3
2015-09-06,1,1
2015-09-13,0,2
2015-09-20,0,2
2015-09-27,1,1
2015-10-04,0,2
2015-10-11,0,2
2015-10-18,0,3
2015-10-25,0,5
2015-11-01,0,2
2015-11-08,0,4
2015-11-15,1,4
2015-11-22,1,4
2015-11-29,0,7
2015-12-06,0,6
2015-12-13,0,3
2015-12-20,0,1
2015-12-27,0,0
2016-01-03,1,2
2016-01-10,1,8
2016-01-17,0,4
2016-01-24,1,4
2016-01-31,0,4
2016-02-07,1,3
2016-02-14,0,3
2016-02-21,1,2
